,term,score,pval
0,abnormal,2.3125000000000004,0.12833749054331364
1,absolute,4.625000000000001,0.03150926130367255
2,active,3.788288288288288,0.051612403993473596
3,actual,0.43243243243243246,0.5107977981738965
4,acute,2.3125000000000004,0.12833749054331364
5,addictive,0.43243243243243246,0.5107977981738965
6,adhesive,2.3125000000000004,0.12833749054331364
7,adverse,0.43243243243243246,0.5107977981738965
8,affective,0.8648648648648649,0.3523808651090832
9,afraid,0.028153153153153098,0.8667492656809055
10,aggressive,0.8648648648648649,0.3523808651090832
11,agitated,0.43243243243243246,0.5107977981738965
12,alert,0.43243243243243246,0.5107977981738965
13,allergic,0.014076576576576549,0.9055568107673926
14,amazing,2.1621621621621623,0.14144553582532166
15,analgesic,0.43243243243243246,0.5107977981738965
16,angry,2.108445945945946,0.1464880148692421
17,annoying,0.43243243243243246,0.5107977981738965
18,apparent,2.3125000000000004,0.12833749054331364
19,awake,2.3125000000000004,0.12833749054331364
20,aware,0.37246621621621623,0.5416630284574513
21,awesome,0.43243243243243246,0.5107977981738965
22,awful,3.963048986486487,0.046509389243615695
23,bad,0.4953624078624079,0.48154495857049473
24,bearable,0.43243243243243246,0.5107977981738965
25,beautiful,0.43243243243243246,0.5107977981738965
26,benign,0.43243243243243246,0.5107977981738965
27,blank,0.43243243243243246,0.5107977981738965
28,calmer,0.43243243243243246,0.5107977981738965
29,careful,0.8648648648648649,0.3523808651090832
30,cautious,0.43243243243243246,0.5107977981738965
31,certain,0.014076576576576549,0.9055568107673926
32,clean,0.051097972972972985,0.8211636152316266
33,clear,0.04222972972972974,0.8371824870115864
34,cold,0.051097972972972985,0.8211636152316266
35,comfortable,1.894144144144144,0.16873524285558483
36,comparable,0.43243243243243246,0.5107977981738965
37,compulsive,0.43243243243243246,0.5107977981738965
38,confused,0.43243243243243246,0.5107977981738965
39,correct,0.43243243243243246,0.5107977981738965
40,crazy,0.051097972972972985,0.8211636152316266
41,dangerous,0.24628378378378377,0.619704021107431
42,dead,0.8648648648648649,0.3523808651090832
43,definite,0.43243243243243246,0.5107977981738965
44,depressed,2.108445945945946,0.1464880148692421
45,desirable,0.43243243243243246,0.5107977981738965
46,desperate,0.43243243243243246,0.5107977981738965
47,destructive,2.3125000000000004,0.12833749054331364
48,diabetic,0.37246621621621623,0.5416630284574513
49,different,0.31857303732303716,0.5724664617712107
50,difficult,0.014076576576576549,0.9055568107673926
51,displeased,0.43243243243243246,0.5107977981738965
52,dizzy,0.014076576576576549,0.9055568107673926
53,double,1.894144144144144,0.16873524285558483
54,doughy,2.3125000000000004,0.12833749054331364
55,dramatic,0.43243243243243246,0.5107977981738965
56,dull,2.3125000000000004,0.12833749054331364
57,easy,1.1877111486486487,0.275791731352388
58,excess,2.3125000000000004,0.12833749054331364
59,excessive,0.24628378378378377,0.619704021107431
60,excited,0.43243243243243246,0.5107977981738965
61,exhausted,2.3125000000000004,0.12833749054331364
62,expensive,0.8648648648648649,0.3523808651090832
63,experienced,0.43243243243243246,0.5107977981738965
64,extra,0.7449324324324325,0.38808541087394477
65,fair,0.43243243243243246,0.5107977981738965
66,faithful,2.3125000000000004,0.12833749054331364
67,fit,0.43243243243243246,0.5107977981738965
68,flat,0.8648648648648649,0.3523808651090832
69,foggy,0.37246621621621623,0.5416630284574513
70,foul,0.37246621621621623,0.5416630284574513
71,frank,2.3125000000000004,0.12833749054331364
72,functional,0.37246621621621623,0.5416630284574513
73,generalized,0.43243243243243246,0.5107977981738965
74,gentle,0.43243243243243246,0.5107977981738965
75,genuine,2.3125000000000004,0.12833749054331364
76,glad,2.108445945945946,0.1464880148692421
77,good,0.033916269210386846,0.8538850338429997
78,grateful,0.37246621621621623,0.5416630284574513
79,grungy,2.3125000000000004,0.12833749054331364
80,happy,3.8679054054054056,0.04921790909371772
81,hard,0.49256756756756753,0.4827842015207876
82,harsh,0.43243243243243246,0.5107977981738965
83,hateful,2.3125000000000004,0.12833749054331364
84,healthy,2.7479354354354357,0.09738009594627176
85,hopeful,9.250000000000002,0.0023549542516944828
86,horrible,3.096437346437347,0.07846383126114206
87,horrific,0.43243243243243246,0.5107977981738965
88,hostile,0.43243243243243246,0.5107977981738965
89,identical,0.43243243243243246,0.5107977981738965
90,ill,0.014076576576576549,0.9055568107673926
91,important,0.051097972972972985,0.8211636152316266
92,impossible,4.625000000000001,0.03150926130367255
93,inadequate,0.43243243243243246,0.5107977981738965
94,incorrect,2.3125000000000004,0.12833749054331364
95,ineffective,4.625000000000001,0.03150926130367255
96,infamous,0.43243243243243246,0.5107977981738965
97,interested,2.3125000000000004,0.12833749054331364
98,intolerable,0.37246621621621623,0.5416630284574513
99,ironic,2.3125000000000004,0.12833749054331364
100,irrational,2.3125000000000004,0.12833749054331364
